id_usuario,nombre,apellido,correo,telefono,estado,id_rol,id_departamento
1,Gonzalo,Molina,gonzalo.molina@outlook.com,0959447379,Activo,3,7
2,Miguel,Jimenez,miguel.jimenez@yahoo.com,0945042906,Activo,2,3
3,Sebasti├ín,Molina,sebastian.molina@unl.edu.ec,0981275351,Inactivo,4,3
4,Luc├¡a,Gomez,lucia.gomez@amazon.com,0955843464,Activo,4,6
5,Carlos,Castillo,carlos.castillo@udg.edu.ec,0910463670,Activo,6,3
6,Elena,Hernandez,elena.hernandez@yahoo.com,0924212731,Activo,5,3
7,Eduardo,Diaz,eduardo.diaz@udg.edu.ec,0915402399,Activo,4,4
8,Daniela,Soto,daniela.soto@protonmail.com,0968206904,Activo,2,1
9,Miguel,Hernandez,miguel.hernandez@unl.edu.ec,0930169228,Inactivo,3,6
10,Miguel,Morales,miguel.morales@gmail.com,0918172510,Activo,1,7
11,Elena,Aguilar,elena.aguilar@outlook.com,0938903887,Activo,1,8
12,Jos├®,Garcia,jose.garcia@outlook.com,0991884768,Inactivo,5,4
13,Patricia,Rojas,patricia.rojas@microsoft.com,0984700621,Activo,4,3
14,Marta,Diaz,marta.diaz@hotmail.com,0948694390,Activo,1,1
15,Luc├¡a,Garcia,lucia.garcia@oracle.com,0991537381,Activo,1,5
16,Marco,Rojas,marco.rojas@yahoo.com,0965930971,Activo,2,1
17,Patricia,Fernandez,patricia.fernandez@hotmail.com,0933888590,Activo,5,4
18,Gonzalo,Castillo,gonzalo.castillo@cisco.com,0926125658,Activo,4,4
19,Fernando,Molina,fernando.molina@hotmail.com,0954330512,Activo,2,1
20,Valeria,Rojas,valeria.rojas@outlook.com,0979348560,Activo,1,2
21,Luc├¡a,Jimenez,lucia.jimenez@ibm.com,0946900483,Activo,6,6
22,Paula,Hernandez,paula.hernandez@outlook.com,0951855622,Activo,4,1
23,Valeria,Ortiz,valeria.ortiz@outlook.com,0928263013,Activo,6,2
24,Carlos,Lopez,carlos.lopez@hotmail.com,0963276958,Activo,3,6
25,Iv├ín,Suarez,ivan.suarez@outlook.com,0962113828,Activo,3,6
26,Mar├¡a,Romero,maria.romero@gmail.com,0929172278,Activo,2,6
27,Ver├│nica,Gomez,veronica.gomez@gmail.com,0978987410,Activo,3,7
28,Javier,Paz,javier.paz@gmail.com,0975046936,Activo,2,5
29,Sergio,Jimenez,sergio.jimenez@outlook.com,0915102003,Activo,1,2
30,Adriana,Gomez,adriana.gomez@yahoo.com,0980328635,Activo,5,3
31,Sergio,Fernandez,sergio.fernandez@hotmail.com,0971401197,Activo,1,6
32,Carlos,Paz,carlos.paz@protonmail.com,0998319093,Activo,3,8
33,├ôscar,Rodriguez,oscar.rodriguez@yahoo.com,0950059799,Activo,5,1
34,Sof├¡a,Vargas,sofia.vargas@unl.edu.ec,0992514990,Activo,1,5
35,Iv├ín,Castillo,ivan.castillo@yahoo.com,0972961139,Activo,2,4
36,Marta,Molina,marta.molina@intel.com,0988938508,Activo,6,8
37,Elena,Suarez,elena.suarez@protonmail.com,0983974997,Activo,2,8
38,Andrea,Cruz,andrea.cruz@gmail.com,0985239862,Activo,1,5
39,Ricardo,Gomez,ricardo.gomez@unl.edu.ec,0976796182,Activo,6,8
40,Paula,Ramos,paula.ramos@yahoo.com,0977704043,Activo,1,6
41,Ricardo,Morales,ricardo.morales@gmail.com,0966573999,Activo,3,4
42,├ôscar,Hernandez,oscar.hernandez@gmail.com,0932979555,Activo,5,7
43,Valeria,Ibarra,valeria.ibarra@oracle.com,0994438177,Activo,6,5
44,Carlos,Aguilar,carlos.aguilar@udg.edu.ec,0994717268,Activo,6,5
45,Carlos,Molina,carlos.molina@hotmail.com,0985328029,Inactivo,2,2
46,Iv├ín,Ruiz,ivan.ruiz@unl.edu.ec,0912221105,Activo,5,3
47,Marta,Gomez,marta.gomez@protonmail.com,0993615786,Activo,3,1
48,Iv├ín,Romero,ivan.romero@protonmail.com,0963894246,Activo,6,8
49,Daniela,Ruiz,daniela.ruiz@protonmail.com,0919816031,Activo,6,8
50,Miguel,Suarez,miguel.suarez@gmail.com,0926003366,Activo,3,7
51,Paula,Vargas,paula.vargas@yahoo.com,0996219907,Activo,4,4
52,Andrea,Rojas,andrea.rojas@gmail.com,0957775195,Activo,6,5
53,Luc├¡a,Morales,lucia.morales@outlook.com,0994189871,Activo,4,1
54,Sebasti├ín,Diaz,sebastian.diaz@sap.com,0913588775,Activo,4,8
55,Pablo,Medina,pablo.medina@cisco.com,0986207760,Activo,3,3
56,Brenda,Ortiz,brenda.ortiz@sap.com,0959338146,Activo,4,4
57,Marco,Fernandez,marco.fernandez@protonmail.com,0940681551,Activo,3,2
58,Luc├¡a,Sanchez,lucia.sanchez@gmail.com,0961940632,Activo,1,4
59,Iv├ín,Garcia,ivan.garcia@outlook.com,0988874730,Activo,5,5
60,Andr├®s,Jimenez,andres.jimenez@gmail.com,0987982445,Activo,4,8
61,Javier,Diaz,javier.diaz@hotmail.com,0948915677,Activo,5,3
62,Luc├¡a,Castillo,lucia.castillo@outlook.com,0938318737,Activo,3,1
63,Ana,Salazar,ana.salazar@oracle.com,0941310111,Activo,1,3
64,Carlos,Rodriguez,carlos.rodriguez@yahoo.com,0987786789,Activo,2,3
65,Marco,Castillo,marco.castillo@gmail.com,0957840645,Activo,6,3
66,Carlos,Perez,carlos.perez@cisco.com,0927736074,Activo,3,4
67,Camila,Gomez,camila.gomez@yahoo.com,0919493826,Activo,3,8
68,Daniela,Sanchez,daniela.sanchez@hotmail.com,0961626857,Activo,2,5
69,Pablo,Rojas,pablo.rojas@linkedin.com,0990540375,Activo,6,5
70,Camila,Navarro,camila.navarro@protonmail.com,0959464395,Activo,5,4
71,Eduardo,Lopez,eduardo.lopez@unl.edu.ec,0995942268,Activo,4,3
72,Luis,Soto,luis.soto@microsoft.com,0924468280,Activo,6,1
73,├ôscar,Cruz,oscar.cruz@outlook.com,0948333723,Activo,5,4
74,Elena,Cruz,elena.cruz@hotmail.com,0947374840,Activo,1,6
75,Paula,Ramos,paula.ramos@udg.edu.ec,0938655056,Activo,3,1
76,Camila,Suarez,camila.suarez@zoom.us,0968153682,Activo,4,2
77,Hugo,Vargas,hugo.vargas@gmail.com,0957012416,Activo,2,4
78,Luis,Suarez,luis.suarez@unl.edu.ec,0933814591,Activo,6,1
79,Diego,Martinez,diego.martinez@gmail.com,0945089792,Activo,5,5
80,Andrea,Vargas,andrea.vargas@hotmail.com,0955426873,Activo,1,1
